1585922624 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922624  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922788  0  0      0 393064  23220 420600    0    0     0    12   34  110  0  0 100  0  0
1585922789  0  0      0 393064  23220 420600    0    0     0     0   35  114  1  0 99  0  0
1585922790  0  0      0 392872  23220 420600    0    0     0     0   45  261  0  1 99  0  0
1585922791  0  0      0 392904  23220 420600    0    0     0     0   27   97  0  0 100  0  0
1585922792 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922792  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922792  1  0      0 392904  23220 420600    0    0     0     0   22   92  0  0 100  0  0
1585922793  0  0      0 392896  23228 420600    0    0     0    32   56  298  1  0 99  0  0
1585922794  0  0      0 392896  23228 420600    0    0     0     0   23   90  0  0 100  0  0
1585922795  0  0      0 392896  23228 420600    0    0     0     0   30  113  0  0 100  0  0
1585922796  0  0      0 392928  23228 420600    0    0     0     0   41  255  0  1 99  0  0
1585922797  0  0      0 392928  23228 420600    0    0     0     0   25   98  0  0 100  0  0
1585922798  0  0      0 392928  23236 420600    0    0     0    64   38  109  0  0 99  1  0
1585922799  0  0      0 392928  23236 420600    0    0     0     0   52  218  0  1 99  0  0
1585922800  0  0      0 392928  23236 420600    0    0     0     0   39  134  0  0 100  0  0
1585922801  0  0      0 392960  23236 420600    0    0     0     0   69  235  0  1 99  0  0
1585922802  0  0      0 392992  23236 420600    0    0     0     0   41  250  1  0 99  0  0
1585922803  0  0      0 392868  23244 420600    0    0     0    36   39  118  0  1 99  0  0
1585922804  0  0      0 392868  23244 420600    0    0     0     0   32  113  0  0 100  0  0
1585922805  0  0      0 393024  23244 420600    0    0     0     0   42  258  1  0 99  0  0
1585922806  0  0      0 393024  23244 420600    0    0     0     0   43  144  0  0 100  0  0
1585922807  0  0      0 393032  23244 420600    0    0     0     0   26  103  0  0 100  0  0
1585922808  0  0      0 393032  23252 420600    0    0     0    12   50  267  0  1 99  0  0
1585922809  0  0      0 393032  23252 420620    0    0    20   212   63  162  0  0 99  0  1
1585922810  0  0      0 393032  23252 420620    0    0     0     0   27  107  0  0 100  0  0
1585922811  0  0      0 393064  23252 420620    0    0     0     0   37  254  0  0 100  0  0
1585922812  0  0      0 393064  23252 420620    0    0     0     0   29  106  1  0 99  0  0
1585922813 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922813  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922813  1  0      0 393056  23260 420620    0    0     0    36   39  128  0  0 100  0  0
1585922814  0  0      0 392748  23260 420672    0    0    48     0   72  385  1  2 97  0  0
1585922815  0  0      0 392012  23260 420668    0    0     0     0   51  156  0  1 99  0  0
1585922816  0  0      0 391640  23260 420668    0    0     0     0   33  107  1  0 99  0  0
1585922817  0  0      0 391640  23260 420668    0    0     0     0   42  254  0  1 99  0  0
1585922818  0  0      0 391640  23268 420668    0    0     0    28   34  109  0  0 99  1  0
1585922819  0  0      0 392844  23268 420668    0    0     0     0   58  211  1  0 99  0  0
1585922820  0  0      0 392844  23268 420668    0    0     0     0   39  205  0  1 99  0  0
1585922821  0  0      0 392876  23268 420668    0    0     0     0   61  225  0  0 100  0  0
1585922822  0  0      0 392876  23268 420668    0    0     0     0   28   97  0  0 100  0  0
1585922823  0  0      0 392908  23276 420668    0    0     0    28   50  266  1  1 98  0  0
1585922824  0  0      0 392908  23276 420668    0    0     0     0   38  121  0  1 99  0  0
1585922825  0  0      0 392908  23276 420668    0    0     0     0   31  115  0  0 100  0  0
1585922826  0  0      0 392908  23276 420672    0    0     0     0   47  273  0  1 99  0  0
1585922827  0  0      0 392940  23276 420672    0    0     0     0   32  106  0  0 100  0  0
1585922828  0  0      0 392940  23284 420672    0    0     0    12   41  123  0  1 99  0  0
1585922829  0  0      0 392940  23284 420672    0    0     0     8   44  254  1  0 99  0  0
1585922830  0  0      0 392940  23284 420672    0    0     0     0   27   98  0  0 100  0  0
1585922831  0  0      0 392940  23284 420672    0    0     0     0   23   91  0  0 100  0  0
1585922832  0  0      0 392772  23284 420672    0    0     0     0   41  256  0  1 99  0  0
1585922833  0  0      0 392772  23292 420672    0    0     0    40   34  109  0  0 100  0  0
1585922834 procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
1585922834  r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
1585922834  1  0      0 392144  23292 420672    0    0     0   368   77  183  0  0 99  1  0
1585922835  0  0      0 391804  23292 420672    0    0     0     0   46  287  1  0 99  0  0
1585922836  0  0      0 391764  23292 420672    0    0     0     0   39  127  1  1 98  0  0
1585922837  0  0      0 391640  23292 420672    0    0     0     0   26   94  0  0 100  0  0
1585922838  0  0      0 391640  23300 420672    0    0     0    16   57  295  0  0 100  0  0
1585922839  0  0      0 391648  23300 420672    0    0     0     0   37  115  0  0 100  0  0
1585922840  0  0      0 391648  23300 420672    0    0     0     0   24   96  1  0 99  0  0
1585922841  0  0      0 391680  23300 420672    0    0     0     0   47  266  0  1 99  0  0
1585922842  0  0      0 391680  23300 420672    0    0     0     0   36  118  0  1 99  0  0
1585922843  0  0      0 391680  23308 420672    0    0     0    12   33  106  0  0 100  0  0
1585922844  0  0      0 391712  23308 420672    0    0     0     0   40  248  0  1 99  0  0
1585922845  0  0      0 391704  23308 420672    0    0     0     0   40  140  0  0 100  0  0
1585922846  0  0      0 391704  23308 420672    0    0     0     0   28  101  0  0 100  0  0
1585922847  0  0      0 391612  23308 420672    0    0     0     0   41  214  0  1 99  0  0
1585922848  0  0      0 392776  23316 420676    0    0     0    12   55  167  0  0 100  0  0
1585922849  0  0      0 392776  23316 420676    0    0     0     0   27   99  0  0 100  0  0
1585922850  0  0      0 392776  23316 420676    0    0     0     0   38  208  0  2 98  0  0
1585922851  0  0      0 392808  23316 420676    0    0     0     0   30  105  0  0 100  0  0
